Film_film,budget,total_talent,revenue,Rating_IMDB_actor
12 Years a Slave,20000000,52.0,187000000,8.1
A Beautiful Mind,60000000,35.0,313542341,8.2
A Man for All Seasons,3900000,41.0,28350000,7.9
A Passage to India,8000000,32.0,27187653,7.4
A Room with a View,3000000,32.0,20966644,7.4
All That Jazz,0,12.0,37823676,7.8
Amadeus,18000000,38.0,51973029,8.3
American Beauty,15000000,37.0,356296601,8.4
American Graffiti,777000,8.0,140000000,7.5
American Hustle,40000000,73.0,251171807,7.3
Amour,8900000,8.0,19839492,7.9
Annie Hall,4000000,28.0,38251425,8.1
Apocalypse Now,31500000,19.0,89460381,8.5
Babe,30000000,10.0,254134910,6.8
Babel,25000000,26.0,135330182,7.5
Beasts of the Southern Wild,1800000,4.0,21107746,7.3
Black Swan,13000000,13.0,327803731,8.0
Born on the Fourth of July,14000000,16.0,161001698,7.2
Boyhood,4000000,34.0,44349000,7.9
Brokeback Mountain,14000000,54.0,178043761,7.7
Capote,7000000,19.0,49084830,7.4
Chariots of Fire,5500000,12.0,58972904,7.2
Chicago,45000000,74.0,306776732,7.2
Crash,6500000,9.0,98410061,7.8
Dances with Wolves,22000000,21.0,424208848,8.0
Dead Poets Society,16400000,11.0,235860116,8.0
Doctor Zhivago,11000000,16.0,111858363,8.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,6.0,9440272,8.5
Erin Brockovich,52000000,24.0,256271286,7.3
Fatal Attraction,14000000,19.0,320145693,6.9
Fiddler on the Roof,9000000,24.0,83304330,8.0
Forrest Gump,55000000,43.0,677945399,8.8
Frost/Nixon,0,12.0,0,7.7
Gandhi,22000000,21.0,77737889,8.1
Gangs of New York,100000000,18.0,193772504,7.5
Gladiator,103000000,39.0,457640427,8.5
Good Will Hunting,10000000,29.0,225933435,8.3
Gravity,105000000,19.0,716392705,7.8
Howards End,0,33.0,25966555,7.5
Inglourious Basterds,70000000,15.0,319131050,8.3
JFK,40000000,13.0,205405498,8.0
Judgment at Nuremberg,3000000,65.0,10000000,8.3
Julia,0,80.0,0,7.4
Juno,7500000,7.0,231411584,7.5
L.A. Confidential,35000000,16.0,126216940,7.3
Lawrence of Arabia,15000000,36.0,69995385,8.3
Lincoln,65000000,61.0,275293450,7.4
Lost in Translation,4000000,13.0,119723856,7.8
Mary Poppins,6000000,15.0,102272727,7.8
Michael Clayton,25000000,32.0,92991835,7.3
Midnight Cowboy,3600000,39.0,44785053,7.9
Milk,20000000,21.0,54586584,7.6
Million Dollar Baby,30000000,37.0,216763646,8.1
My Fair Lady,17000000,58.0,72070731,7.9
Mystic River,25000000,33.0,156822020,8.0
Nebraska,12000000,19.0,17654912,7.7
Network,3800000,82.0,23689877,8.1
No Country for Old Men,25000000,17.0,171600000,8.1
Oliver!,10000000,37.0,37402877,7.5
One Flew Over the Cuckoo's Nest,3000000,34.0,108981275,8.7
Ordinary People,6000000,36.0,0,7.8
Out of Africa,31000000,35.0,128499205,7.2
Patton,12000000,15.0,89800000,8.0
Platoon,6000000,30.0,138530565,8.1
Precious,10000000,10.0,47536959,7.3
Pulp Fiction,8000000,40.0,213928762,8.9
Raging Bull,18000000,36.0,23000000,8.2
Rain Man,25000000,15.0,412800000,8.0
Ray,40000000,11.0,124731534,7.7
Reds,32000000,72.0,40382659,7.5
Rocky,1000000,59.0,117235147,8.1
Room,6000000,9.0,35401758,8.2
Saving Private Ryan,70000000,22.0,481840909,8.6
Schindler's List,22000000,45.0,321365567,8.9
Shakespeare in Love,25000000,65.0,289317794,7.2
Shine,0,26.0,0,7.7
Sideways,16000000,18.0,109502303,7.5
Silver Linings Playbook,21000000,43.0,205738714,7.8
Spotlight,20000000,19.0,88346473,8.1
Star Wars,11000000,15.0,775398007,8.7
The Apartment,3000000,53.0,25000000,8.3
The Artist,15000000,40.0,133432856,7.9
The Aviator,116000000,58.0,102000000,7.5
The Big Short,28000000,11.0,133346506,7.8
The Crying Game,3705538,20.0,62548947,7.3
The Curious Case of Benjamin Button,150000000,36.0,333932083,7.8
The Deer Hunter,15000000,49.0,50000000,8.2
The Departed,90000000,11.0,289847354,8.5
The Descendants,20000000,13.0,177243185,7.3
The Elephant Man,5000000,16.0,26010864,8.2
The English Patient,27000000,61.0,231976425,7.4
The Exorcist,8000000,48.0,441306145,8.0
The Fighter,25000000,34.0,93617009,7.9
The French Connection,1800000,30.0,41158757,7.8
The Godfather,6000000,65.0,245066411,9.2
The Hours,25000000,49.0,41597830,7.6
The Hurt Locker,15000000,16.0,42000000,7.6
The Hustler,2000000,50.0,7600000,8.0
The Imitation Game,14000000,24.0,233555708,8.1
The Insider,90000000,11.0,60289912,7.9
The King's Speech,15000000,62.0,414211549,8.0
The Lord of the Rings: The Fellowship of the Ring,93000000,19.0,871368364,8.8
The Pianist,35000000,14.0,120072577,8.5
The Piano,7000000,29.0,116700000,7.6
The Queen,15000000,15.0,123384128,7.3
The Reader,32000000,13.0,113019290,7.6
The Remains of the Day,11500000,30.0,23237911,7.9
The Revenant,135000000,44.0,532950503,8.0
The Silence of the Lambs,19000000,30.0,272742922,8.6
The Sixth Sense,40000000,17.0,672806292,8.1
The Social Network,40000000,17.0,224920315,7.7
The Sound of Music,8200000,32.0,286214286,8.0
The Sting,5500000,10.0,159616327,8.3
The Verdict,16000000,16.0,53977250,7.8
The Wolf of Wall Street,100000000,19.0,392000694,8.2
There Will Be Blood,25000000,16.0,77208711,8.1
Titanic,200000000,44.0,1845034188,7.7
To Kill a Mockingbird,2000000,25.0,13129846,8.3
Tom Jones,1000000,32.0,37600000,6.7
Tootsie,21000000,51.0,177200000,7.4
Traffic,48000000,12.0,207515725,7.6
True Grit,38000000,29.0,252276927,7.4
Unforgiven,14000000,33.0,159157447,8.3
Up in the Air,25000000,32.0,163670000,7.4
West Side Story,6000000,30.0,43656822,7.6
Witness,12000000,13.0,68706993,7.4
